relation,domains,ranges
bronzeMedalist,"{'http://dbpedia.org/ontology/InternationalFootballLeagueEvent', 'http://dbpedia.org/ontology/MixedMartialArtsEvent', 'http://dbpedia.org/ontology/CyclingCompetition', 'http://dbpedia.org/ontology/NationalFootballLeagueEvent', 'http://dbpedia.org/ontology/WrestlingEvent', 'http://dbpedia.org/ontology/GrandPrix', 'http://dbpedia.org/ontology/FootballMatch', 'http://dbpedia.org/ontology/Race', 'http://dbpedia.org/ontology/Tournament', 'http://dbpedia.org/ontology/Olympics'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
firstRace,set(),set()
founder,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
class,set(),set()
honours,set(),set()
team,set(),"{'http://dbpedia.org/ontology/BaseballTeam', 'http://dbpedia.org/ontology/HandballTeam', 'http://dbpedia.org/ontology/CyclingTeam', 'http://dbpedia.org/ontology/FormulaOneTeam', 'http://dbpedia.org/ontology/AustralianFootballTeam', 'http://dbpedia.org/ontology/AmericanFootballTeam', 'http://dbpedia.org/ontology/HockeyTeam', 'http://dbpedia.org/ontology/CanadianFootballTeam', 'http://dbpedia.org/ontology/SpeedwayTeam', 'http://dbpedia.org/ontology/CricketTeam', 'http://dbpedia.org/ontology/BasketballTeam'}"
ruralMunicipality,set(),"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
distributor,set(),"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}"
cpu,set(),set()
followingEvent,"{'http://dbpedia.org/ontology/Outbreak', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Competition', 'http://dbpedia.org/ontology/LifeCycleEvent', 'http://dbpedia.org/ontology/PenaltyShootOut', 'http://dbpedia.org/ontology/NaturalEvent'}","{'http://dbpedia.org/ontology/Outbreak', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Competition', 'http://dbpedia.org/ontology/LifeCycleEvent', 'http://dbpedia.org/ontology/PenaltyShootOut', 'http://dbpedia.org/ontology/NaturalEvent'}"
notableStudent,"{'http://dbpedia.org/ontology/Professor', 'http://dbpedia.org/ontology/Biologist', 'http://dbpedia.org/ontology/Medician', 'http://dbpedia.org/ontology/Entomologist'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
binomial,"{'http://dbpedia.org/ontology/Bacteria', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Archaea'}",set()
countySeat,"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}",set()
sourceConfluence,set(),set()
primeMinister,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
institution,set(),"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}"
artist,"{'http://dbpedia.org/ontology/ClassicalMusicComposition', 'http://dbpedia.org/ontology/NationalAnthem', 'http://dbpedia.org/ontology/Opera', 'http://dbpedia.org/ontology/Song', 'http://dbpedia.org/ontology/ArtistDiscography', 'http://dbpedia.org/ontology/Musical', 'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Album'}","{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}"
pictureFormat,"{'http://dbpedia.org/ontology/BroadcastNetwork', 'http://dbpedia.org/ontology/TelevisionStation', 'http://dbpedia.org/ontology/RadioStation'}",set()
stadium,set(),set()
nextEvent,"{'http://dbpedia.org/ontology/Outbreak', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Competition', 'http://dbpedia.org/ontology/LifeCycleEvent', 'http://dbpedia.org/ontology/PenaltyShootOut', 'http://dbpedia.org/ontology/NaturalEvent'}","{'http://dbpedia.org/ontology/Outbreak', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Competition', 'http://dbpedia.org/ontology/LifeCycleEvent', 'http://dbpedia.org/ontology/PenaltyShootOut', 'http://dbpedia.org/ontology/NaturalEvent'}"
musicFusionGenre,set(),set()
state,set(),"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
regionServed,"{'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/SportsClub', 'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/EmployersOrganisation', 'http://dbpedia.org/ontology/GeopoliticalOrganisation', 'http://dbpedia.org/ontology/TermOfOffice', 'http://dbpedia.org/ontology/Parliament', 'http://dbpedia.org/ontology/TradeUnion', 'http://dbpedia.org/ontology/SambaSchool', 'http://dbpedia.org/ontology/InternationalOrganisation', 'http://dbpedia.org/ontology/Legislature', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/EducationalInstitution', 'http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/ReligiousOrganisation', 'http://dbpedia.org/ontology/Broadcaster', 'http://dbpedia.org/ontology/Group'}","{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}"
languageFamily,{'http://dbpedia.org/ontology/ProgrammingLanguage'},set()
position,set(),set()
beatifiedBy,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
